Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C10, C4, C6, C7, C8",0805,5,0.1uF,
"C2, C3, C5, C9",0805,4,10uF,
D1,D_SOD-123,1,1N5819,
"D2, D3, D4",D_SOD-323_HandSoldering,3,D_TVS,
D5,0805,1,LED,
D6,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,1,SK6812,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"R1, R5, R6",0805,3,10k,
"R2, R3",0805,2,5.1k,
R4,0805,1,75,
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
