Designator,Mid X,Mid Y,Rotation,Layer
C1,153.2,-85.6625,270.0,top
C10,152.9,-71.8375,90.0,top
C2,155.3,-113.1,0.0,top
C3,153.2,-109.7,270.0,top
C4,157.6,-109.9,270.0,top
C5,153.2,-90.5,90.0,top
C6,153.2,-94.7375,270.0,top
C7,159.5,-95.4,180.0,top
C8,156.4,-93.7625,270.0,top
C9,153.2,-76.4625,90.0,top
D1,153.4,-117.9,270.0,top
D2,172.6,-118.2,90.0,top
D3,176.9,-118.1,90.0,top
D4,157.5,-117.7,270.0,top
D5,162.8,-103.925,90.0,top
D6,168.95,-104.8,0.0,top
J1,165.4,-119.9,0.0,top
J2,177.0,-102.35,180.0,top
R1,153.2,-81.4,270.0,top
R2,162.9,-111.5,90.0,top
R3,169.0,-111.6,270.0,top
R4,162.7,-99.9,270.0,top
R5,166.6,-99.1,0.0,top
R6,171.3,-98.5,0.0,top
SW1,164.65,-94.7,0.0,top
SW2,171.2,-94.7,0.0,top
U1,155.7,-101.6,180.0,top
U2,164.825,-79.79,0.0,top
